WGT,RACE,NETWORTH
 8678.3487701000,2,    492100.00
 1999.0418539000,1,     23160.00
 1991.6399971000,1,     22170.00
 2003.7401860000,1,     22970.00
 2018.2720374000,1,     22150.00
 2005.9601242000,1,     23150.00
 3011.7156314000,2,     15530.00
 2878.1155957000,2,     16060.00
 2939.2337860000,2,     16660.00
 2936.1038909000,2,     16460.00
 2895.6180956000,2,     15800.00
 1661.3225610000,2,    425590.00
 3353.4723451000,2,    665270.00
 1591.2978220000,2,    425560.00
 3461.4867645000,2,    459440.00
 3535.1972705000,2,    445540.00
 1140.0512458000,4,    845300.00
 1136.6929712000,4,    615400.00
 1226.0555382000,4,    627300.00
 1157.7619980000,4,    694100.00
 1241.9548213000,4,    852500.00
 1898.1740256000,1,  26294300.00
 1898.1041508000,1,  26298200.00
 1911.5800785000,1,  26296300.00
 1925.6570927000,1,  26299800.00
 1907.2731509000,1,  26304300.00
  163.7112689500,1,   3466000.00
  171.1362608100,1,   3466000.00
  177.7830389300,1,   3466000.00
  172.0526310600,1,   3466000.00
  166.6429713500,1,   3466000.00
 1734.6615001000,4,   1078500.00
 1729.5516688000,4,   1073500.00
 1865.5225780000,4,   1075500.00
 1761.6095519000,4,   1084500.00
 1889.7143628000,4,   1074500.00
   58.7388220740,1, 135775000.00
   59.3957210020,1, 135138000.00
   59.6823911900,1, 119607000.00
   60.9493337590,1, 134797000.00
   59.3266102400,1, 129020000.00
 2794.3733698000,1,  12156000.00
 2961.3904037000,1,  12156000.00
 3053.3344914000,1,  12156000.00
 2935.8305431000,1,  12156000.00
 2815.1280276000,1,  12157000.00
  409.4917849900,1,  12771080.00
  422.6035447200,1,  12770080.00
  440.0790024500,1,  12771080.00
  424.0954260400,1,  12771080.00
  417.6116498400,1,  12770080.00
 6287.6835299000,1,    697700.00
 6311.0446647000,1,    698700.00
 6793.3528073000,1,    698700.00
 6479.7099415000,1,    697700.00
 6898.2083345000,1,    698700.00
  347.5468113200,1,   1343700.00
  366.7268127400,1,   1307700.00
  334.0488068500,1,   1353700.00
  346.3067908500,1,   1336700.00
  337.3380312400,1,   1316700.00
18628.8319580000,1,     74950.00
18560.0611810000,1,     74950.00
18292.2013730000,1,     74950.00
18837.3526180000,1,     74950.00
18267.6253500000,1,     74950.00
14381.0892610000,1,    134200.00
13654.0595750000,1,    129720.00
13743.2497690000,1,    130200.00
13903.7548570000,1,    126600.00
13592.8577550000,1,    127450.00
 5069.3791176000,1,    386300.00
 5089.3092130000,1,    385530.00
 5478.9398020000,1,    385700.00
 5227.9417321000,1,    377500.00
 5563.1302272000,1,    367900.00
   53.7931170870,1,  27652000.00
   51.6212654140,1,  25146000.00
   52.9575317030,1,  25359000.00
   52.3653464240,1,  25256000.00
   53.6401069510,1,  29212000.00
18925.4535090000,1,       590.00
18708.5832860000,1,       130.00
18829.5384160000,1,      1210.00
18921.3421750000,1,       500.00
18657.9141860000,1,      6610.00
   60.2650026810,1,  67735500.00
   59.3453974880,1,  65324700.00
   61.2214686540,1,  67237400.00
   61.1669277660,1,  64000240.00
   59.6418246250,1,  66171530.00
 9863.7505810000,3,     72380.00
 8786.8527012000,3,     72380.00
 8980.8037309000,3,     73300.00
 9308.2601353000,3,     75900.00
 8851.9628186000,3,     72600.00
12812.0688270000,1,    252500.00
12521.9485480000,1,    253500.00
12335.4449930000,1,    252500.00
12626.4855360000,1,    251500.00
12247.3584960000,1,    252500.00
 2302.6670919000,3,     -4400.00
 2252.7256465000,3,     -6200.00
 2269.3077596000,3,     -4470.00
 2268.6287738000,3,     -5180.00
 2242.9127280000,3,     -5200.00
 3068.9569674000,3,     -4600.00
 3102.4245865000,3,     -3600.00
 3094.3961261000,3,     -4500.00
 3098.8430411000,3,     -3500.00
 3102.5122676000,3,     -3500.00
 4715.7780781000,1,    293350.00
 4745.5054607000,1,    300350.00
 4743.2064974000,1,    253350.00
 4751.6095167000,1,    292350.00
 4743.5897959000,1,    393350.00
18291.2834940000,1,     63101.00
17388.1992950000,1,     63201.00
17171.0848580000,1,     63151.00
17821.4860510000,1,     63101.00
16996.9622280000,1,     63151.00
 8302.3693251000,1,    168700.00
 8114.3680165000,1,    155800.00
 7993.5115477000,1,    299500.00
 8182.1091977000,1,    179000.00
 7936.4304749000,1,    230700.00
15335.5978650000,1,     40000.00
 9889.1093353000,1,    254800.00
14751.9047800000,1,     95900.00
15063.6914200000,1,    203900.00
14571.4795410000,1,    100700.00
 1810.5482647000,4,  18330200.00
 1867.2220269000,4,  18340200.00
 1992.5683816000,4,  18488200.00
 1870.0773886000,4,  18270200.00
 1790.1193236000,4,  18441200.00
15090.5436810000,1,    250900.00
13916.6995070000,1,    258900.00
14021.7821790000,1,    250900.00
14447.5392290000,1,    214900.00
13738.2427170000,1,    205900.00
  655.3636198000,1,   1556000.00
  705.7805454800,1,   1556000.00
  644.7051979000,1,   1556000.00
  660.2211229400,1,   1604000.00
  645.5775459700,1,   1556000.00
 1797.4941237000,1,    283300.00
 1779.6120616000,1,    293300.00
 1773.5817037000,1,    266900.00
 1834.6895581000,1,    252600.00
 1705.6596181000,1,    263100.00
 2050.3468347000,4,     14340.00
 2037.4064437000,4,     15340.00
 2064.9408309000,4,     15340.00
 2091.8811426000,4,     14340.00
 2061.5033382000,4,     15340.00
  765.9622805300,1,  34245300.00
  769.9566061300,1,  34268000.00
  767.7601047700,1,  34238200.00
  777.4447247600,1,  34246000.00
  777.8766074800,1,  34267000.00
   45.3312615510,1, 249260000.00
   45.7356900790,1, 495858000.00
   46.0954352630,1, 306671000.00
   47.0271583180,1, 424967000.00
   45.5868580960,1, 514736000.00
 1720.8879035000,1,   8081500.00
 1830.0865420000,1,   6505600.00
 1904.7289589000,1,   8718000.00
 1829.9402987000,1,   7311600.00
 1732.1364194000,1,   7478000.00
 6090.8933935000,1,    508500.00
 6053.2250124000,1,    507400.00
 6113.5806785000,1,    507500.00
 6036.4711113000,1,    507400.00
 6114.6952605000,1,    507500.00
12781.2042080000,1,     56930.00
11794.8326770000,1,     58225.00
12029.2367770000,1,     61340.00
12214.3044380000,1,     62210.00
11790.7008540000,1,     60880.00
  882.6919473200,4,   1477400.00
 1031.9387407000,4,   1479400.00
  740.6403832400,4,   1477400.00
  877.7416388300,4,   1479500.00
  796.5464439600,4,   1478400.00
 2866.2981476000,2,    246900.00
 2781.7952198000,2,    348890.00
 2794.7886310000,2,    203900.00
 2800.3553053000,2,    272700.00
 2765.8599411000,2,    136400.00
12648.5360120000,1,     93090.00
12009.0947980000,1,     85000.00
12087.5398560000,1,     93190.00
12228.7081880000,1,    111200.00
11955.2662310000,1,     94400.00
13493.6544360000,3,     27110.00
13339.0281880000,3,     26410.00
13425.2679570000,3,     26310.00
13490.7230960000,3,     26410.00
13302.9016390000,3,     26210.00
 1869.8490295000,1,   4801000.00
 1928.3790235000,1,   4801000.00
 2057.8308390000,1,   4801000.00
 1931.3279068000,1,   4800000.00
 1848.7509807000,1,   4801000.00
 2278.6480940000,4,    113440.00
 2356.2626317000,4,    125260.00
 2317.4077003000,4,    120410.00
 2359.8695724000,4,    131020.00
 2336.5535954000,4,    123290.00
 8826.8353097000,3,        50.00
 8818.0569088000,3,        50.00
 8843.9989886000,3,        50.00
 8815.3633638000,3,        50.00
 8844.8956435000,3,        50.00
 3844.9580670000,1,      4520.00
 3751.3673757000,1,      4520.00
 3787.6746908000,1,      4520.00
 3764.8497628000,1,      4520.00
 3737.3368580000,1,      4520.00
 4567.9746796000,3,    512040.00
 4210.1089301000,3,    512350.00
 4236.8324038000,3,    513230.00
 4368.3203401000,3,    512040.00
 4148.6926330000,3,    512040.00
 3019.0305380000,1,    235490.00
 3045.8950593000,1,    239140.00
 3154.3122311000,1,    233960.00
 3156.8952920000,1,    235330.00
 3226.0869824000,1,    232840.00
 7550.0555838000,1,    878470.00
 7577.3910689000,1,   1420410.00
 8147.5505352000,1,    631800.00
 7781.7963399000,1,   1030800.00
12597.6898440000,1,    356800.00
18484.2202220000,1,    282150.00
18660.3841610000,1,    282750.00
18203.0772100000,1,    281550.00
18491.2628080000,1,    281150.00
18236.5831130000,1,    281550.00
 2979.4634916000,2,     14800.00
 2968.4314253000,2,      9760.00
 2986.4661008000,2,     11580.00
 3008.1250373000,2,     11230.00
 2989.7747983000,2,     32690.00
 2285.6629454000,2,    334250.00
 2179.8576599000,2,    333360.00
 2253.6807399000,2,    332060.00
 2195.7369567000,2,    333360.00
 2224.3061530000,2,    327360.00
 7611.5891333000,1,  19908000.00
 7981.2375996000,1,   7279320.00
 8189.5271722000,1,   5021920.00
 7876.7368309000,1,   7126510.00
 7842.0570505000,1,  17613160.00
 4875.9454779000,5,    486800.00
 2335.8552197000,5,    793800.00
 2520.1054985000,5,    558800.00
 2377.2843790000,5,    596800.00
 4404.2682554000,5,    537200.00
16800.0304520000,1,    -38410.00
16490.8317010000,1,    -38410.00
16742.4961280000,1,    -38410.00
16754.1666960000,1,    -38410.00
16716.8194790000,1,    -38410.00
   54.5535776240,1, 195159000.00
   54.7626306760,1, 206864000.00
   55.0664413550,1, 307202000.00
   56.2642385620,1, 261848000.00
   55.0312977760,1, 263460500.00
15235.2842500000,1,     98940.00
14415.3248950000,1,     99640.00
14309.4238710000,1,    112140.00
14702.4577260000,1,     99540.00
14229.4345750000,1,     99540.00
 1364.2223182000,3,    234500.00
 1303.5377175000,3,    241200.00
 1347.9386527000,3,    245000.00
 1356.1090527000,3,    235390.00
 1249.2632148000,3,    233720.00
13270.5934050000,1,    937600.00
13916.5305150000,1,   1022600.00
15087.6663170000,1,   1039600.00
13731.0800990000,1,    995600.00
15323.5106580000,1,    910600.00
 1682.3729020000,2,         0.00
 1686.7700778000,2,         0.00
 1662.2636263000,2,         0.00
 1680.7122906000,2,         0.00
 1671.3055659000,2,         0.00
 2764.9521385000,2,    162310.00
 2655.5810099000,4,    153900.00
 2629.9727706000,2,    165140.00
 2684.0611876000,4,    147130.00
 2525.1190238000,1,    113780.00
 3207.1623951000,5,    920550.00
 3197.3296854000,5,    932850.00
 3449.4784414000,5,    866350.00
 3255.5848496000,5,    833850.00
 3493.6785812000,5,    817550.00
 7099.3738031000,1,   1167900.00
 7123.5971454000,1,   1186200.00
 7672.6172922000,1,   1170130.00
 7314.9085369000,1,   1175600.00
 7790.8576170000,1,   1173400.00
   45.0977369850,1,  29463500.00
   45.0757969930,1,  32923900.00
   45.2826730180,1,  28858900.00
   45.8404624500,1,  33847700.00
   45.8779728770,1,  31552000.00
12939.9284400000,1,    237680.00
13003.7663090000,1,    237680.00
13046.9860250000,1,    237680.00
13357.4676830000,1,    237680.00
12626.2038530000,1,    237680.00
  236.0997027200,3,   -555500.00
